SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,Lat,Long
VW190,2901 8TH ST,Single-Space,FLAT,$1.00 ,1HR,34.057817,-118.290996
CB3822,801 S SANTEE ST,Single-Space,TOD,$1.00 - $4.00,2HR,34.040251,-118.25319
LH262,2300 PASADENA AVE,Single-Space,FLAT,$1.00 ,1HR,34.07575,-118.217411
CP217,7200 N OWENSMOUTH AVE,Single-Space,FLAT,$1.00 ,2HR,34.202422,-118.601472
CB4139,1400 S MYRTLE ST,Single-Space,JUMP,$0.50/H - $2.00/10H,10HR,34.031916,-118.257042
SA27,1300 LEMOYNE ST,Single-Space,FLAT,$1.00 ,2HR,34.077855,-118.259177
LC198,8300 W BEVERLY BLVD,Single-Space,FLAT,$1.00 ,2HR,34.075964,-118.37046
SS22,11300 W MASSACHUSETTS AVE,Single-Space,FLAT,$1.00 ,2HR,34.046868,-118.44926
WW135,200 WESTERN AVE,Single-Space,FLAT,$1.00 ,1HR,34.074737,-118.309048
LM261,700 N ALTA VISTA BLVD,Single-Space,FLAT,$1.00 ,2HR,34.083712,-118.347385
SG223,7800 W SUNSET BLVD,Single-Space,FLAT,$1.00 ,1HR,34.097955,-118.360765
VH188,4401 AVOCADO ST,Single-Space,FLAT,$1.00 ,2HR,34.110888,-118.286846
CB2327,600 E PICO BLVD,Single-Space,TOD,$0.50 - $1.00,4HR,34.032931,-118.254419
CB152,1400 S HOPE ST,Single-Space,TOD,$1.50 - $2.00,4HR,34.037728,-118.266685
C66A,3201 VERMONT AVE,Single-Space,FLAT,$1.00 ,4HR,34.026011,-118.291681
WN27,700 AVALON BLVD,Single-Space,FLAT,$0.50 ,2HR,33.779103,-118.262271
SS87A,11400 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00 ,30MIN,34.045621,-118.451116
WS297,2101 S WESTWOOD BLVD,Single-Space,FLAT,$1.00 ,1HR,34.044963,-118.432797
WW1179,3601 6TH ST,Single-Space,FLAT,$1.00 ,2HR,34.063639,-118.302592
CB1755,201 E 12TH ST,Single-Space,TOD,$1.00 - $3.00,2HR,34.036598,-118.257725
56604,10710 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,34.051559,-118.432303
HO244,6301 W SELMA AVE,Single-Space,TOD,$0.50 - $1.00,2HR,34.099838,-118.32916
56177,10635 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,34.053599,-118.430079
L197,500 N LARCHMONT BLVD,Single-Space,FLAT,$1.00 ,2HR,34.080215,-118.323535
OF64,5801 W SAN VICENTE BLVD,Single-Space,FLAT,$1.00 ,2HR,34.056142,-118.359788
SVV486,4700 WILLOW BROOK AVE,Single-Space,JUMP,$1.00/H - $4.00/6H,6HR,34.089371,-118.294646
WU1022,601 BEAUDRY AVE,Single-Space,FLAT,$1.00 ,30MIN,34.051351,-118.261872
VW547,600 VIRGIL AVE,Single-Space,FLAT,$1.00 ,2HR,34.062773,-118.286941
VN335,14501 W SYLVAN ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.184736,-118.450005
WA340,901 ALVARADO ST,Single-Space,FLAT,$1.00 ,1HR,34.052712,-118.279326
PR567,5851 W PICO BLVD,Single-Space,FLAT,$1.00 ,1HR,34.051772,-118.367475
HW598,5401 W FERNWOOD AVE,Single-Space,FLAT,$1.00 ,2HR,34.095648,-118.307962
CB4331,901 S SAN JULIAN ST,Single-Space,FLAT,$0.50 ,4HR,34.037898,-118.251374
SV204,6600 W SUNSET BLVD,Single-Space,FLAT,$0.50 ,2HR,34.097883,-118.334435
VN517,6201 N VAN NUYS BLVD,Single-Space,FLAT,$1.00 ,30MIN,34.183309,-118.448863
CC1256,301 S LOS ANGELES ST,Single-Space,TOD,$0.50 - $3.00,2HR,34.048126,-118.24524
VW1625,1200 KENMORE AVE,Single-Space,FLAT,$1.00 ,2HR,34.04747,-118.296764
LH171,2701 PASADENA AVE,Single-Space,FLAT,$1.00 ,1HR,34.078081,-118.215282
ED664F,900 S CROCKER ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.035522,-118.249769
PR428,1401 S REXFORD DR,Single-Space,FLAT,$1.00 ,2HR,34.054953,-118.394336
CB4321,201 W 12TH ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.038913,-118.261286
W159,9601 S VICKSBURG AVE,Single-Space,FLAT,$1.00 ,2HR,33.947742,-118.393999
P227,800 N ALMA REAL DR,Single-Space,FLAT,$1.00 ,2HR,34.044381,-118.524724
CB3586,800 S GRAND AVE,Single-Space,TOD,$2.00 - $3.00,4HR,34.045566,-118.258074
WW1730,651 SERRANO AVE,Single-Space,FLAT,$1.00 ,1HR,34.060401,-118.30669
MM94,701 S BURNSIDE AVE,Single-Space,FLAT,$1.00 ,2HR,34.06158,-118.349771
AE663,100 S ALAMEDA ST,Single-Space,FLAT,$1.00 ,2HR,34.047445,-118.237955
56244,11032 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,34.048097,-118.442253
CB2383,1200 S SAN PEDRO ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.033266,-118.253514
WU678,1701 8TH ST,Single-Space,FLAT,$1.00 ,1HR,34.053086,-118.273646
CC283,100 N HOPE ST,Single-Space,TOD,$2.00 - $3.00,4HR-30MIN,34.058146,-118.248071
SH384,6200 W SANTA MONICA BLVD,Single-Space,FLAT,$0.50 ,2HR,34.090661,-118.32578
WW223,101 WESTERN AVE,Single-Space,FLAT,$1.00 ,1HR,34.072752,-118.309235
WW1304A,4101 3RD ST,Single-Space,FLAT,$1.00 ,1HR,34.069089,-118.304439
WF427A,600 S SAN VICENTE BLVD,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.064679,-118.371947
WSV133,12201 W WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,2HR,34.042981,-118.469052
WU1134,400 BOYLSTON ST,Single-Space,FLAT,$1.00 ,2HR,34.055907,-118.258207
MD401,1600 EASTLAKE AVE,Single-Space,FLAT,$1.00 ,4HR,34.064412,-118.206705
CC827,300 N FREMONT AVE,Single-Space,FLAT,$0.50 ,2HR,34.060191,-118.250191
PB209,1301 S ORANGE GROVE AVE,Single-Space,FLAT,$1.00 ,2HR,34.051604,-118.365611
WA1583,1601 PICO BLVD,Single-Space,FLAT,$1.00 ,1HR,34.044925,-118.27729
WW1908,800 OXFORD AVE,Single-Space,FLAT,$1.00 ,2HR,34.057401,-118.307719
WS383,1900 S SEPULVEDA BLVD,Single-Space,FLAT,$1.00 ,1HR,34.043887,-118.440946
VN282,14501 W FRIAR ST,Single-Space,FLAT,$1.00 ,2HR,34.18573,-118.449048
82809,2 WASHINGTON BLVD,Multi-Space,TOD,$1.00 - $1.50,2HR,33.979112,-118.466584
SA126,1700 SUNSET BLVD,Single-Space,FLAT,$1.00 ,2HR,34.077196,-118.25863
ED262,900 E 12TH ST,Single-Space,TOD,$0.50 - $1.00,4HR,34.031918,-118.249658
WU738,801 S UNION DR,Single-Space,FLAT,$1.00 ,2HR,34.051445,-118.272869
LT82,100 S SAN PEDRO ST,Single-Space,TOD,$1.50 - $4.00,2HR,34.049949,-118.241113
SP565,401 6TH ST,Single-Space,FLAT,$0.50 ,2HR,33.738701,-118.287039
PR740,1201 S LA JOLLA AVE,Single-Space,FLAT,$1.00 ,1HR,34.053198,-118.374111
CB3169,500 W 7TH ST,Single-Space,TOD,$5.00 - $6.00,2HR,34.046897,-118.256152
CP247,22001 W SHERMAN WAY,Single-Space,FLAT,$1.00 ,2HR,34.201129,-118.607535
LH155,101 AVENUE 26,Single-Space,FLAT,$1.00 ,1HR,34.076561,-118.21499
WS408,1800 S SEPULVEDA BLVD,Single-Space,FLAT,$1.00 ,1HR,34.045981,-118.442757
WW300A,301 WESTERN AVE,Single-Space,FLAT,$1.00 ,1HR,34.067993,-118.309211
CB3375,601 W OLYMPIC BL,Single-Space,TOD,$0.50 - $2.00,4HR,34.044039,-118.262023
